quotation,label
Can you give indications on where the changes should happen and other indications?,civil
I am a bit lost in the source code,civil
My sincere apologies if I missed something.,civil
"If I sound hostile, it because I am kindly sharing the user hostility you're unleashing on developers trying to get work done.",civil
"I don't know anything about gclient or gyp, and I didn't see any documentation in the repo to lead me in the right direction (except the README, which tells me I should be looking in tools/).",civil
I'm afraid that without guidance/help I won't be able to move far with the port.,civil
"I'm also having huge issues with building NSPR similarly to what was reported in comment #&#173,7 over an year ago.",civil
I would like to help .. just don't think I have the needed skills.,civil
Unfortunately since then work has been busy which left no time for further dart work.,civil
It's quite sad that not all of the interested parties were invited to the table.,civil
I understand your frustration at the delay in getting this in.,civil
It is possible that moving the files to third_party is not ideal but it does provide us a clean separation of the hosts that the Dart team ships periodically as install ready binaries in a SDK vs other hosts.,civil
If you have other ideas on how we can maintain this separation I am willing to listen.,civil
I had plans to make a proper port (with separate files and not patches on the linux ones) but after seeing how the Dart team treated the BSD ports efforts and specially Mulander's work ... I really got disappointed and lost all interest in Dart!,civil
I've likewise abandoned Dart because I see nothing in the Dart project to give me confidence that it will be ported.,civil
"I'm willing to give it another look if things change, but I can't use something if it doesn't support the systems I deploy on.",civil
This would really help modularizing our code,civil
"The lack of communication on one of, if not the most requested feature of the last 3-4 years is not something to appreciate.",civil
"They decided to implement it which is great news, crass comments like these do not help anyone.",civil
apologise if you felt somehow attacked by my comment.,civil
Lose more games than the Jets and act like you are a team full of Tom Bradys.,civil
It would be great if aside from the current way of building widgets you could add JSX like capabilities.,civil
Sorry if I sound defensive or aggressive. :-),civil
"don't take my argumentative tone as dismissive, I'm very interested in your input here.",civil
Stop nit-picking things that are not fully specified.,civil
Make Flutter look familiar to React developers and you have a chance of attracting a bunch of new users to Flutter.,civil
"Wow, could have written a blog post xD",civil
"The point being, we haven't made any decisions yet, and are very open to learning what needs to be done based on all these discussions and experiments.",civil
"That I appreciate and I read all your 'long writings', answering everything: no way, but when I answer properly you don't understand my answer and concludes that I am being dismissive.",civil
"And if, by chance, he was being sincere, then I apologize for my snideness",civil
We are very interested to better understand your scenarios where WCF server side functionality is required.,civil
I have dreamed for years of having WCF across their entire network so that I can finally (!) have reliable transactions and durable services spanning their various generations of Linux and Windows.,civil
"Having WCF on .Net core is not only desirable, it is essential.",civil
"We have a strong need to run .NET/WCF on Linux, so please add this to the road map!",civil
"Stop invest in dead technologies such as WCF and VB.NET, spending tremendous amounts of resources to nowhere, instead of spending for something good.",civil
Without WCF we will either have to abandon a lot of the plans or suffer a decrease in productivity.  :-(,civil
It's possible you misunderstood the comment.,civil
"Do I like being productive, absolutely. That means, never using WCF.",civil
"The code has been already updated, but `7.19.0` did not include this. :(",civil
it seems you're a little too caffeinated here :,civil
Mike you are a valued JIT contributor,civil
I didn't really think about it too much.,civil
I didn't really think about it too much.  I was just trying to keep things peaceful here.,civil
I honestly believe that his harsh remarks were not intentional.,civil
It would be a great loss for the .NET community if you'd stop contributing.,civil
"If you consider my comment to be negative, just tell me and I'll happily remove it.",civil
"I did not contribute to get praise, I only contributed for the fun of it. And it stops being fun if I have to deal with nonsense.",civil
I can very much relate to that.,civil
But we need to be careful that we don't use valuable contributions as a currency to offset disrespectful behavior.,civil
Let's just say that it is distasteful.,civil
I honestly don't follow any more,civil
"Sorry to hear that, but what is causing here an issue for you?",civil
It supposed to be a discussion so you can ask questions too.,civil
"Then I quickly deleted it, as I recognized that it was not a helpful reaction and wouldn't help advance the conversation.",civil
So excuse me if this is how you felt.,civil
"Seriously, have I done something to you?",civil
I encourage everyone to report this package to npm as its breaking their rules and harmful for npm ecosystem and its attacking users computer.,civil
Report it to npm,civil
Stop taking money for something that should be free and open.,civil
"I hope that there is a more reasonable way of asking for funding since this practice will encourage many other projects to do the same and it would be unfortunate for our terminal output logs to look like nascar advertisements after everyone starts doing the same thing, which starts looking like the [tragedy of the commons](https://en.wikipedia.org/wiki/Tragedy_of_the_commons).",civil
It is sad that so many with such strong opinions have no contributions in the last year outside of this issue.,civil
"I don't want to have to view advertisements in my CI logs, and I hate what this would mean if other packages started doing this.",civil
"I didn't mean to suggest that anyone disagreeing was acting as part of a mob. It was meant to apply specifically to those people treating a github issue like it's a place for trolling, nasty comments, etc. My apologies if it came off that way.",civil
Just be decent and follow the community's rules.,civil
"If you are going to rant, go to twitter.",civil
