quotation,code
"Hi,Thanks for the details.Initially i was sceptical of rst & once instead of hitting the fly, hit ""make htmldocs"" on the keyboard :), and the opinion about it was changed. It was easy to navigate through various docs & the realized that various topics (& many) were present (yes, it was there earlier also, but had to dive inside Documentation & search, while viewing the top level index.html made them standout). It was like earlier you had to go after docs, but now it was docs coming after you, that is my opinion.Later while fighting with memory-barriers.txt, felt that it might be good for it as well as to be in that company. And the readability as a text is not hurt as well.It was thought that rst conversion could be done quickly, but sincethis was my first attempt with rst, had to put some effort to get anot so bad output, even if this patch dies, i am happy to have learn trst conversion to some extent. When one of the author of the original document objected, i felt it is better to back off. But if there is a consensus, i will proceed. ",non-technical
"As per the in-kernel documentation, I am now allowed to make fun of you. You are trying to ""out smart"" the kernel by getting rid of a warning message that was explicitly put there for you to do something.  To think that by just providing an ""empty"" function you are somehow fulfilling the API requirement is quite bold, don't you think? This has to be fixed.  I didn't put that warning in there for no good reason.  Please go read the documentation again...",non-technical
Please do not repost with such a small changes. It is much more important to sort out the big picture first and only then deal with minor implementation details. The more versions you post the more fragmented and messy the discussion will become. You will have to be patient because this is a rather big change and it will take  quite  some time to get sorted. Thanks!,non-technical
"Pulled, and then immediately unpulled again. The code causes new compiler warnings, and the warnings are valid. If people don't care enough about their code to even check thewarnings, I'm not going to waste one second pulling the resulting garbage. It's that simple.  ",non-technical
Could you please just merge the obvious fix from Arnd instead?[ it was posted two weeks ago and ACKed by me.,non-technical
The init function is making sure cal type is one or another. Can you fix it correctly by replacing the 'switch' by a 'if' instead of adding dead branches to please gcc? ,non-technical
"Did you actually test this?  The usual reason for wanting m/u delay isthat the timing must be exact.  The driver is filled with mdelay()s forthis reason.  The one you've picked on is in the init path so it won't affect the runtime in any way.  I also don't think we have the hr timer machinery for usleep range() to work properly on parisc, so I don't think the replacement works. ",non-technical
"This doesn't have to be on separate lines; as written, it just causes confusion. Good find, but your patch is corrupted to the point where any attenpt to fix it up on my side failed. Please resend without corruption, and please provide a Fixes: line. Thanks, Guenter",non-technical
"Sorry, but this is a hack to *try* to make multi-slot work and this isn't sufficient. There were good reasons to why the earlier non-working multi slot support was removed from dw mmc. Let me elaborate a bit for your understanding. The core uses a hostlock (mmc claim|release host()) to serialize operations and commands, as to confirm to the SD/SDIO/(e) MMC specs. The above changes gives noguarantees for this. To make that work, we would need a ""mmc bus lock"" to be managed by the core. However, inventing a ""mmc bus lock"" would lead to other problemsrelated to I/O scheduling for upper layers - it simply breaks. Forexample, I/O requests for one card/slot can then starve I/O requests reaching another card/slot. ",non-technical
"What actually took so long?  Could you analyze further instead of blindly putting the flag? thanks,Takashi",non-technical
