quotation,code
"When controller is working as Device then host part of controller is held in reset and vice versa, so driver has restricted access to registers. ",technical
,
Switching role form user space will limited driver only to selected mode. Only for USB DR MODE OTG driver should base on ID pin. That's my intension.,technical
,
"Yes, I know and I agree with you. I have plan to replace this with trace points. But I need some time for this. Currently I'm focusing on testing. Probably  I will change It by the end of this month, so it should be in RFC PATCH v3. ",technical
,
User space setting should override ID if it was OTG mode. At least this is how it is for dwc3. That way it is useful for testing role swap.,technical
,
I think you should send it to ASoC maintainer and list for applying. Shawn,technical
,
" It's still quite new for me to submit patch, but if this patch should be sent to ASoC maintainer maybe there is a line missing in the MAINTAINERS file no ? SOUNDM: ",technical
,
"Mark, comment? ",technical
,
"Adding a file pattern for this seems sensible, yes.",technical
,
"OK, I will send a v2 for the IMX6 Audmux bindings with ASoC List and Maintainers. ",technical
,
"This is v2 patch. I'm sorry that I forgot to add the word ""v2"" to the subject. ",technical
,
"AFAICS this will break e.g. x86 which can have both ZONE DMA andZONE DMA32, and now you would make kmalloc(  GFP DMA) return objects from ZONE DMA32 instead of   ZONE DMA, which can break something. Also I'm probably missing the point of this all. In patch 3 you use  get dma32 pages() thus   get free pages(  GFP DMA32), which uses alloc pages, thus the page allocator directly, and there's no slab caches involved. It makes little sense to involve slab for page table allocations anyway, as those tend to be aligned to a page size (or high-order page size). So what am I missing?",technical
,
"Oh, I was not aware that both ZONE DMA and ZONE DMA32 can be defined at the same time. I guess the test should be inverted, something like this (can be simplified...) 32 pages fixes level 1 page allocations in the patch 3.This change fixes level 2 page allocations(kmem cache zalloc(data->l2 tables, gfp  GFP DMA)), by transparently remapping GFP DMA to an underlying ZONE DMA32.The alternative would be to create a new SLAB CACHE DMA32 when CONFIG ZONE DMA32 is defined, but then I'm concerned that the callers would need to choose between the 2 (GFP DMA or GFP DMA32...), and also need to use some ifdefs (but maybe that's not a valid concern?).Level 2 tables are ARM V7S TABLE SIZE(2) => 1kb, so we'd waste 3kb if we allocated a full page.",technical
,
"Oh, I see. Well, I think indeed the most transparent would be to support SLAB CACHE DMA32. The callers of kmem cache zalloc() would then need not add anything special to gfp, as that's stored internally upon kmem cache create(). Of course SLAB BUG MASK would no longer have to treat   GFP DMA32 as unexpected. It would be unexpected when passed to kmalloc() which doesn't have special dma32 caches, but for a cache explicitly created to allocate from ZONE DMA32, I don't see why not. I'm somewhat surprised that there wouldn't be a need for this earlier, so maybe I'm still missing something.",technical
,
Do you have any numbers for how much difference this change makes with various different workloads?,technical
,
"Yep, I got some non KVM numbers, Formulas: Percentage - (pages sharing - pages shared)/pages unshared Memory saved - (pages sharing - pages shared)*4/1024 MiB- My working laptop: 5% - ~100 MiB saved ~2GiB used  Many different chrome based apps + KDE- K8s test VM:  40% - ~160 MiB saved ~920MiB used  With some small running docker images- Ceph test VM: 20% - ~60MiB saved ~600MiB used  With ceph mon, osd. Develop cluster servers:- K8s server backend: 72%, ~5800 MiB saved ~35.7 GiB used  (With backend apps: C, java, go & etc server apps)- K8s server processing: 55%, ~2600 MiB saved ~28 GiB used  (90% of load many instance of one CPU intensive application)- Ceph node: 2%, ~190 MiB saved ~11.7 GiB used  (OSD only) So numbers, as always depends on the load. Thanks!- - -P.S.On recent kernels (4.19) i see BUG ON message, that ksmd scheduled while in critical section/atomic context, not sure how to properly fix that. (If i understood correctly, i can use preempt disable(); but that looks more like hack, not a fix). Any feedback are welcome.",technical
,
"Isn't it more straight-forward to use ""rcu-rscs^-1"" other than""rcu-rscsi"" in the definition of ""rcu-fence"", is it? The introduction of ""rcu-rscsi"" makes sense in the first patch, but with this refactoring, I think it's better we just don't use it.",technical
,
It's a matter of personal preference.  I prefer to store the inverse relation in a separate variable rather than recomputing it multiple times.  (Maybe OCaml is smart enough to recognize when a value has already been computed and avoid computing it again; I don't know.) In the end this probably doesn't make much difference.,technical
,
Isn't it too early to do this change? Can't we wait until we have a SoC that actually embeds this IP?I'd prefer to have a dw/ subdir where you'd place all dw files. Do we really have to create one module for the core and one per SoC? Can't we have everything in the same .ko?,technical
,
I'm trying to turn it more flexible so the other can reuse the code. Sure. I will change to this:../dwc  -core.h -master.c  -platdrv.cso the user doesn't need to write dw-i3c.. several times. The folder name is the same as for other subsystem (e.g. PCI). What do you think? This will help the introduction of new modules. The design in my mind is to have:-core.h-common.c-master.c-slave.c... I'm not sure if make sense to change core.h to common.h. Thanks for your feedback.,technical
,
"Looking at the separation you've done here, I don't see why you need it. All the resources you request are generic, so why not just adding a new compat in the of match table?Just realized the driver is named dw-i3c-master, while the cadence driver is named i3c-master-cdns.c. I'll send a patch to make that consistent and follow the initial naming scheme: i3c-master-<ipname>.c.",technical
,
"I understand your point. I'm just following what it's done in others Synopsys drivers and what I expect is that in the future we will have the same for the I3C. Some of the current generic functions might be override according with SoC requirements (e.g. i2c-designware, pcie-designware). for now what do you prefer? As I shared with you in previous email, the structure that I have in mind is this one:- core.h (or common.h, any though?)- common.c- master.c- slave.cso for me doesn't make sense to have for instance: i3c-master-dw-slave.c But seeing what is already in the kernel I wasn't coherent and it should be named to i3c-designware-master.cor follow this  This topic rise another one related with the master folder. I understand that now the subsystem doesn't have slave support but the name is limited. Isn't better to have something like controller or busses? What do you have in mind for the slave?",technical
,
"I prefer that we keep the driver as is until we actually need to split things up. If you have several files and they're all placed in a dw/ subdir, then I agree, prefixing everything with i3c-master- is useless, as you'll have to define a custom rule to create the i3c-master-dw.ko object. When there's a single source file, and this source file is directly used to create a .ko, we need this prefix, otherwise we would have dw.ko, and this would basically conflict with any other designware driver that does not have a proper prefix. Actually it's i3c-master-designware.c (or i3c-master-dw.c) if we follow what's been done for the cadence driver. And I agree with Linus on this, except that does not apply to single source file drivers.drivers/i3c/slave/... for slave drivers and drivers/i3c/slave.c for the framework, just like we have drivers/i3c/master/ for master controller drivers and drivers/i3c/master.c.",technical
,
This is already done and will benefit everyone: - for me is better do it now than the secondary master and slave development.  - for the others it will easy the SoC integration avoiding duplicated work and doing things from scratch. I was referring to what was made in other modules and should be applied here too. I have to disagree here. I don't see any place on the kernel with.../master/ and ../slave/ folders and it is very likely that both rules will have some common code. With this structure the user will have the code spread in /master and/slave folders...I would like you consider to change the folder name and the names rules to something like in i2c. Maybe someone else can give his opinion too. ,technical
,
"Sorry, I don't get that one. What would be duplicated? You want to support a new SoC, just add a new entry in the of match table and you're done. When you need to add SoC/integration specific stuff, create a struct and attach a different instance per-compatible so that each SoC can have its own configuration(or even init sequence if needed). That's how we do for pretty much all IPs out there, why should design ware ones be different? This is a subsystem decision. I don't mind changing the naming scheme, though I don't see why yours is better than the one I initially proposed. In any case, what's important here is to keep driver names consistent. I see at least one that uses this model: the USB framework (drivers/usb/gadget/ for device controllers and drivers/usb/host/ for host controllers). Given that I3C is closer to USB than I2C I initially decided to keep this separation. Maybe I'm wrong, but I'd like to understand why you think it's not appropriate. Not sure who you call ""user"" here, but yes,  master controller and slave controller drivers would be placed in different dirs. Why? And more importantly, why is this coming up now? You've been reviewing the framework since the beginning, and never complained about the subdirs/files organization so far. I'm okay changing it, but I want to understand why the proposed separation is not good.",technical
,
"To be more specific, I'd like a real example that shows why the separation is needed.",technical
,
"I finally understand what this separation is all about: supporting both PCI and platform devices. I guess I've been distracted by this sentence: ""This patch will allow SOC integrators to add their code specific to DesignWare I3C IP.""which for me meant each SoC would have its own platform driver.In any case, I think this is a bit premature do this separation, unless you already know about one integrator planning to expose this IP over PCI.",technical
,
"I already share my plan with you. See the structure above. You can say there some features from USB in I3C but cannot compare USBvs I3C since they are in different championships. The aim of I3C is to fill the gaps discovery on I2C over the years but still keeping its simplicity not to go to the complexity of USB. I'm not sure but I think that a controller cannot change between gadget to host in USB in runtime. Even so, this kind of behavior is more likely to have in an I3C bus. Sorry for that and don't take me wrong... maybe I should rise this question early but this only came up now when I started splitting and thinking where to put what is for master for slave, what is common and the thing of putting everything of controller in a folder. Taking the USB as example do you prefer a dwc folder on i3c root? I already tell you my use case and as I said maybe someone can advise :)",technical
,
"My point is, I don't get the relationship between your patch and secondary-master/slave-mode support.I maintain that functionally, I3C is closer to USB than I2C. That does not mean that it's competing with USB performance-wise, it just means  that the SW stack is likely to resemble the USB one (probably a bit simpler, at least at the beginning). Look at the bus discovery mechanism, the notion of DCR (close to the concept of USB class), or the fact that each dev has a unique manufacturer+PID pair (which resemble the product/vendor ID concept) that allows us to easily bind a dev to a driver without requiring a static description.That's called USB OTG. Okay, to be fair, it's not exactly the same, and the mastership handover in I3C is probably more complex than what we have with USB OTG (I'm not a USB expert, so I might be wrong here). Maybe. So you have such a dual-role controller? I mean, Cadence IP has a dummy GPIO mode in its Master IP when is operating in slave mode (secondary master, or main master after it's released the bus), but I'm not sure this was designed for anything else but testing. What I call a slave controller would be something that lets you reply to SDR/DDR transactions or fill a generic regmap that would be exposed to other masters on the bus. This way we could implement generic slave drivers in Linux (the same way we have gadget drivers). Anything else is likely to be to specific to be exposed as a generic framework. Hm, not sure I like this idea either. So I see 2 options:1/ put all controller drivers (both master and slave ones) in a common directory (drivers/i3c/controllers) as you suggest, and prefix them   correctly  place them in separate directories I'm fine either way. I think I understand your concerns now, but only because you started to mention a few things that were not clearly stated before (at least, I didn't understand it this way), like the fact that your controller (and probably others too) supports dual-role, or the fact that you plan to expose your IP through the PCI bus.",technical
,
"Sorry for the delayed response. I think this should be discuss in another thread. Do you agree? Yes, that was what I trying to tell you. For me this might be the best option. I would like to avoid having dual role i3c driver in a master folder. I don't disagree, and for those that have more than one file they should be in a folder, right? What prefix do you have in mind for those files inside a folder? No, it's not. But as you can see to slipt the driver in parts this subject has some relevance. ",technical
,
Ok no problem. We can delay this for PCI and other rules support.,technical
,
It's quite unusual for a backlight device to have a trivial binding. The driver supports fairly extensive parametrization via structlm3530a platform data. It is really the case that none of these properties should ever be set via DT?,technical
,
Similar to my reply to the DT bindings: I would have expected there to be code to handle DT properties here. ,technical
,
"I initially assumed that we would let user space configure these values once the system has booted, but you are right that these should be available in device tree. The driver has two different LED banks that can be configured independently. How do you feel about having a single property in device tree populate the initial values for both banks? I propose that we could use the property default-brightness-level for leda init brtand ledb init brt in struct lm3630a platform data. The max-brightness property can populate leda max brt and ledb max brt. I need to look at other bindings this weekend to see if there are any standard properties that I can use for leda ctrl/ledb ctrl, pwm ctrl,and pwm period. ",technical
,
I agree and I'm not going to use a trivial binding for v2. See below for some questions that I have from my last email.,technical
,
"This is a standard 8-bit white LED driver.  It looks like Brian is just adding DT support to load the driver. I would expect that the bindings need to be updated to be able to register one string or another using the led-sources property.  There are a couple of examples in the kernel and a couple of them in patch form. This driver and binding need to be updated to the latest spec, as you pointed out with child nodes. And Jacek has some new proposed bindings for the LED class so we may want to adopt those standards here as well.  This is what I am waiting on for agreement so I can update my patch set.",technical
,
"This member is only written to, but never used. This function is only used once. Maybe drop the function and put the if to the caller. This error message looks wrong, several others, too. return PTR ERR(clk)?sun8i pwm is shared for all 8 PWMs, right? So if you assign mux-1 here for the second mux, how does this influence the first PWM?mux-0 might already be enabled, it is then never disabled. This looks wrong. If val is > 1 there shouldn't be a reason to abort? I'd degrade this to dev dbg. Noting the underlying formula for the calculation and the bit width for the related register fields above would be good. Why ""<< 0""?sun8i pwm config writes the registers that are relevant for period and duty cycle. When do these values take effect? If it's already here, switching the polarity below might introduce a glitch. Please document how the hardware behaves when being disabled. (Does itdrive a 0? Does it drive a 1 when inverted? Or is the output high-z?) This looks strange to me. While syntactically equivalent it is more usual to write this as	if (val & PWM ACT STA)When the PWM should be enabled, you also set the CLK GATING bit. Should this better be checked for in .get state, too?.data doesn't need to be specified. This prevents a match by driver-name, right? Other than that match is only used to assign pwm->data below to NULL. You might want to handle pwm->clk == ERR PTR(-EPROBE DEFER) without falling back to mux-1 and without printing an error. This is equivalent to	if (ret)because &pwm->chip.npwm is only modified if of property read u32returns 0 and the variable holds a 0 before.dev dbg? If you do this earlier (typically after the allocation succeeded) you can simplify the last few lines to:	ret = pwmchip add(&pwm->chip);	if (ret < 0)		dev err(&pdev->dev, ...);	return ret; This is at least unusual (and maybe broken). Please call pwmchip removebefore clk disable unprepare. I think the space in the alias must be dropped. Giving that the driver doesn't bind by driver-name I suggest to drop this completely.",technical
,
"HI! That should be a separate patch.(also, your patch series don't seem to have the threading properly configured, you might want to fix that.) sun8i here (and in the rest of the driver) is too vague. There's already plenty of SoCs part of the sun8i family that are supported by the other driver. sun8i-r40 would be a better fit (and there's no need to mention all the rebranding that allwinner has done with the R40, just use R40).This is pretty much reimplementing the clock framework. I guess you'd be better off just modeling this clock as a clock registered in the framework. It will take care by itself of the combination of muxing and rate, and making sure the parent clocks are properly enabled when needed. Do you really need that field if you leave it NULL?",technical
,
"Hello, Given that the documentation is publically available, I suggest to add a link to it in a comment here. I think this is the case after taking a look into the reference manual. There are two 16 bit fields in the PWM PERIOD REG. One specifies the number of clock ticks defining the period (""PWM ENTIRE CYCLE"") and the other the duty cycle (""PWM ACT CYCLE""). So if you go from duty cycle=5 + period=10 + POLARITY NORMAL toduty cycle=3 + period=10 + POLARITY INVERTED this might generate: Also there is a PWM PERIOD RDY bit field that probably has to be consulted before writing to the PWM PERIOD REG register. It's not entirely clear to me if the PWM ACT STA bit that is used for inversion is shadowed until the next period, too. That's what I assumed above. If it's not the wave might look as follows: Where * marks the point where the inversion starts to take effect.",technical
,
"Hello, To clarify my question: after the first pwm is used and enabled (maybe using mux-0) changing sun8i pwm->clk for the second pwm is broken because then when the firstpwm is disabled the wrong clock is stopped.",technical
,
"Hi, No, I meant for your mails, sorry. Each patch should be sent in reply to your cover letter, and they are all sent as separate mails, which makes it hard to track. I'm not sure how you're sending your patches, but using git send-email this would be using --no-chain-reply-to --thread if I remember well. You don't need to move it anywhere, you can declare a clock in adriver, without being in drivers/clk. We're doing that in the DRM or the RTC drivers for example.",technical
,
"You should never try to get resources at this point. You should have requested them already at ->probe() time. Otherwise, how are you going to handle failures here? So this isn't really how atomic is supposed to work. The whole point of the single callback is to allow the driver to apply the changes in an atomic way, which means that either everything is applied or nothing is applied. That's not what you do here. In the above you can end up with an enabled clock but the settings not being applied. Similarly sun8i pwm config() can abort in a number of places, which would leave you with a half-configured PWM channel. Instead, what you should be doing is precompute everything and check that the configuration can be applied before touching any registers or enabling clocks. Once you've validate the new state, you need to write everything and there should be no more risk of failure.",technical
,
"Something wrong here, i will fix it, thanks :) Got it, it is useful for me !",technical
,
