,thread_id,email_id,email_code,email_body,previous_email_id,previous_email_code,previous_email_body,concat_body
0,152625,156564,uncivil,"How do you plan to handle the external references? For example, the following LWN articles has a link this file. And changing the name and/or location will break that link, AFAIK.",156500,uncivil,"So I hate this rst crap with a passion, so NAK from me.","So I hate this rst crap with a passion, so NAK from me. How do you plan to handle the external references? For example, the following LWN articles has a link this file. And changing the name and/or location will break that link, AFAIK."
1,152625,156500,uncivil,"So I hate this rst crap with a passion, so NAK from me.",152625,technical,"Let PDF & HTML's be created out of memory-barriers Text by reStructuring.  reStructuring done were, 1. Section headers modification, lower header case except start 2. Removal of manual index(contents section), since it now gets created    automatically for html/pdf 3. Internal cross reference for easy navigation 4. Alignment adjustments 5. Strong emphasis made wherever there was emphasis earlier (through    other ways), strong was chosen as normal emphasis showed in italics,    which was felt to be not enough & strong showed it in bold 6. ASCII text & code snippets in literal blocks 7. Backquotes for inline instances in the paragraph's where they are    expressed not in English, but in C, pseudo-code, file path etc. 8. Notes section created out of the earlier notes 9. Manual numbering replaced by auto-numbering 10.Bibliography (References section) made such that it can be cross-linked.   Hi,  With this change, pdf & html could be generated. There certainly are improvements to be made, but thought of first knowing whether migrating memory-barriers from txt to rst is welcome.  The location chosen is Documentation/kernel-hacking"", i was unsure where this should reside & there was no .rst file in top-level directory ""Documentation"", so put it into one of the existing folder that seemed to me as not that unsuitable.  Other files refer to memory-barrier.txt, those also needs to be adjusted based on where .rst can reside.   ","Let PDF & HTML's be created out of memory-barriers Text by reStructuring.  reStructuring done were, 1. Section headers modification, lower header case except start 2. Removal of manual index(contents section), since it now gets created    automatically for html/pdf 3. Internal cross reference for easy navigation 4. Alignment adjustments 5. Strong emphasis made wherever there was emphasis earlier (through    other ways), strong was chosen as normal emphasis showed in italics,    which was felt to be not enough & strong showed it in bold 6. ASCII text & code snippets in literal blocks 7. Backquotes for inline instances in the paragraph's where they are    expressed not in English, but in C, pseudo-code, file path etc. 8. Notes section created out of the earlier notes 9. Manual numbering replaced by auto-numbering 10.Bibliography (References section) made such that it can be cross-linked.   Hi,  With this change, pdf & html could be generated. There certainly are improvements to be made, but thought of first knowing whether migrating memory-barriers from txt to rst is welcome.  The location chosen is Documentation/kernel-hacking"", i was unsure where this should reside & there was no .rst file in top-level directory ""Documentation"", so put it into one of the existing folder that seemed to me as not that unsuitable.  Other files refer to memory-barrier.txt, those also needs to be adjusted based on where .rst can reside.    So I hate this rst crap with a passion, so NAK from me."
2,152625,156871,uncivil,"IMO symlinks are mostly ending in a mess, URLs are never stable. There is a link to handle such requirements. Take a look at intersphinx to see how it works:  Each Sphinx HTML build creates a file named objects.inv that contains a mapping from object names to URIs relative to the HTML set's root. This means articles from external (like lwn articles) has to be recompiled. Not perfect, but a first solution. I really like them, factually valuable comments .. please express your concern so that we have a chance to move on. I think that's a pity.",156614,technical,"If necessary to handle these, symlink might help here i believe.  Upon trying to understand memory-barriers.txt, i felt that it might be better to have it in PDF/HTML format, thus attempted to convert it to rst. And i see it not being welcomed, hence shelving the conversion.","If necessary to handle these, symlink might help here i believe.  Upon trying to understand memory-barriers.txt, i felt that it might be better to have it in PDF/HTML format, thus attempted to convert it to rst. And i see it not being welcomed, hence shelving the conversion. IMO symlinks are mostly ending in a mess, URLs are never stable. There is a link to handle such requirements. Take a look at intersphinx to see how it works:  Each Sphinx HTML build creates a file named objects.inv that contains a mapping from object names to URIs relative to the HTML set's root. This means articles from external (like lwn articles) has to be recompiled. Not perfect, but a first solution. I really like them, factually valuable comments .. please express your concern so that we have a chance to move on. I think that's a pity."
3,152625,157636,civil,"Thanks for the details. Initially i was sceptical of rst & once instead of hitting the fly, hit ""make htmldocs"" on the keyboard :), and the opinion about it was changed. It was easy to navigate through various docs & the realized that various topics (& many) were present (yes, it was there earlier also, but had to dive inside Documentation & search, while viewing the toplevel index.html made them standout). It was like earlier you had to go after docs, but now it was docs coming after you, that is my opinion. 
Later while fighting with memory-barriers.txt, felt that it might be good for it as well as to be in that company. And the readability as a text is not hurt as well. It was thought that rst conversion could be done quickly, but since this was my first attempt with rst, had to put some effort to get a not so bad output, even if this patch dies, i am happy to have learnt rst conversion to some extent. When one of the author of the original document objected, i felt it is better to backoff. But if there is a consensus, i will proceed.",156871,uncivil,"IMO symlinks are mostly ending in a mess, URLs are never stable. There is an object to handle such requirements. Take a look at intersphinx to see how it works:  Each Sphinx HTML build creates a file named objects.inv that contains a mapping from object names to URIs relative to the HTML sets root.  This means articles from external (like lwn articles) has to be recompiled. Not perfect, but a first solution. I really like them, factually valuable comments .. please express your concern so that we have a chance to move on. I think that's a pity. ","IMO symlinks are mostly ending in a mess, URLs are never stable. There is an object to handle such requirements. Take a look at intersphinx to see how it works:  Each Sphinx HTML build creates a file named objects.inv that contains a mapping from object names to URIs relative to the HTML sets root.  This means articles from external (like lwn articles) has to be recompiled. Not perfect, but a first solution. I really like them, factually valuable comments .. please express your concern so that we have a chance to move on. I think that's a pity.  Thanks for the details. Initially i was sceptical of rst & once instead of hitting the fly, hit ""make htmldocs"" on the keyboard :), and the opinion about it was changed. It was easy to navigate through various docs & the realized that various topics (& many) were present (yes, it was there earlier also, but had to dive inside Documentation & search, while viewing the toplevel index.html made them standout). It was like earlier you had to go after docs, but now it was docs coming after you, that is my opinion. 
Later while fighting with memory-barriers.txt, felt that it might be good for it as well as to be in that company. And the readability as a text is not hurt as well. It was thought that rst conversion could be done quickly, but since this was my first attempt with rst, had to put some effort to get a not so bad output, even if this patch dies, i am happy to have learnt rst conversion to some extent. When one of the author of the original document objected, i felt it is better to backoff. But if there is a consensus, i will proceed."
4,159308,177720,uncivil,"A version of this patch has been queued by Catalin. Now that the cpufeature bits are queued, I think this can be split up into two separate series for v4.16-rc1, one to tackle NOTIFY_SEI and the associated plumbing. The second for the KVM 'make SError pending' API. I didn't sign-off this patch. If you pick some bits from another version and want to credit someone else you can 'CC:' them or just mention it in the commit-message. Irrelevant-Nit: sys-regs usually have a 'SYS_' prefix, and are in instruction encoding order lower down the file. (These PSTATE PAN things are a bit odd as they were used to generate and instruction before the fancy {read,write}_sysreg() helpers were added). Bits of this are spread between patches 5 and 6. If you put them in the other order this wouldn't happen. (but after a rebase most of this patch should disappear) So this writes an impdef ESR, because its the existing code-path in KVM. And then you overwrite it. Which is a bit odd as there is a helper to do both in one go. How come you don't use this in kvm_arm_set_sei_esr()?",177719,technical,"After this patch user-space can trigger an SError in the guest. If it wants to migrate the guest, how does the pending SError get migrated?  I think we need to fix migration first. Andrew Jones suggested using this:  Given KVM uses kvm_inject_vabt() on v8.0 hardware too, we should cover systems without the v8.2 RAS Extensions with the same API. I think this means a bit to read/write whether SError is pending, and another to indicate the ESR should be set/read. CPUs without the v8.2 RAS Extensions can reject pending-SError that had an ESR.  user-space can then use the 'for migration' calls to make a 'new' SError pending.  Now that the cpufeature bits are queued, I think this can be split up into two separate series for v4.16-rc1, one to tackle NOTIFY_SEI and the associated plumbing. The second for the KVM 'make SError pending' API.    Does nothing in the patch that adds the support? This is a bit odd. (oh, its hiding in patch 6...)","After this patch user-space can trigger an SError in the guest. If it wants to migrate the guest, how does the pending SError get migrated?  I think we need to fix migration first. Andrew Jones suggested using this:  Given KVM this function on v8.0 hardware too, we should cover systems without the v8.2 RAS Extensions with the same API. I think this means a bit to read/write whether SError is pending, and another to indicate the ESR should be set/read. CPUs without the v8.2 RAS Extensions can reject pending-SError that had an ESR.  user-space can then use the 'for migration' calls to make a 'new' SError pending.  Now that the cpufeature bits are queued, I think this can be split up into two separate series for this version, one to tackle NOTIFY_SEI and the associated plumbing. The second for the KVM 'make SError pending' API.    Does nothing in the patch that adds the support? This is a bit odd. (oh, its hiding in patch 6...) A version of this patch has been queued by Catalin. Now that the cpufeature bits are queued, I think this can be split up into two separate series for this version, one to tackle NOTIFY_SEI and the associated plumbing. The second for the KVM 'make SError pending' API. I didn't sign-off this patch. If you pick some bits from another version and want to credit someone else you can 'CC:' them or just mention it in the commit-message. Irrelevant-Nit: sys-regs usually have a 'SYS_' prefix, and are in instruction encoding order lower down the file. (These PSTATE PAN things are a bit odd as they were used to generate and instruction before the fancy helpers were added). Bits of this are spread between patches 5 and 6. If you put them in the other order this wouldn't happen. (but after a rebase most of this patch should disappear) So this writes an impdef ESR, because its the existing code-path in KVM. And then you overwrite it. Which is a bit odd as there is a helper to do both in one go. How come you don't use this in this function?"
5,161354,161783,uncivil,"For 2500Base-X, do you report a speed of 2500Mbps through ethtool, or are you reporting 1000Mbps?  I don't see any code in this patch that deals with that.",161722,technical,Thanks for adding the comment. ,"Thanks for adding the comment.  For 2500Base-X, do you report a speed of 2500Mbps through ethtool, or are you reporting 1000Mbps?  I don't see any code in this patch that deals with that."
6,165231,165261,civil,"According to my comment on the other thread, this stands true in case the child is managed by runtime PM as well. Otherwise this looks good to me. How about adding an additional patch on top taking into account the ignore_children flag and folding that into the series, kind of as you also suggested? My point is, we might as well take the opportunity to fix this right away, don't you think?",165230,technical,"One of the limitations of pm_runtime_force_suspend/resume() is that if a parent driver wants to use these functions, all of its child drivers generally have to do that too because of the parent usage counter manipulations necessary to get the correct state of the parent during system-wide transitions to the working state (system resume). However, that limitation turns out to be artificial, so remove it.  Namely, pm_runtime_force_suspend() only needs to update the children counter of its parent (if there's is a parent) when the device can stay in suspend after the subsequent system resume transition, as that counter is correct already otherwise.  Now, if the parent's children counter is not updated, it is not necessary to increment the parent's usage counter in that case any more, as long as the children counters of devices are checked along with their usage counters in order to decide whether or not the devices may be left in suspend after the subsequent system resume transition.  Accordingly, modify pm_runtime_force_suspend() to only call pm_runtime_set_suspended() for devices whose usage and children counters are at the no references"" level (the runtime PM status of the device needs to be updated to ""suspended"" anyway in case this function is called once again for the same device during the transition under way), drop the parent usage counter incrementation from it and update pm_runtime_force_resume() to compensate for these changes. ","One of the limitations of the resume function is that if a parent driver wants to use these functions, all of its child drivers generally have to do that too because of the parent usage counter manipulations necessary to get the correct state of the parent during system-wide transitions to the working state (system resume). However, that limitation turns out to be artificial, so remove it.  Namely, pm_runtime_force_suspend() only needs to update the children counter of its parent (if there's is a parent) when the device can stay in suspend after the subsequent system resume transition, as that counter is correct already otherwise.  Now, if the parent's children counter is not updated, it is not necessary to increment the parent's usage counter in that case any more, as long as the children counters of devices are checked along with their usage counters in order to decide whether or not the devices may be left in suspend after the subsequent system resume transition.  Accordingly, the suspend function to only call this function for devices whose usage and children counters are at the no references"" level (the runtime PM status of the device needs to be updated to ""suspended"" anyway in case this function is called once again for the same device during the transition under way), drop the parent usage counter incrementation from it and update the resume function to compensate for these changes.  According to my comment on the other thread, this stands true in case the child is managed by runtime PM as well. Otherwise this looks good to me. How about adding an additional patch on top taking into account the ignore_children flag and folding that into the series, kind of as you also suggested? My point is, we might as well take the opportunity to fix this right away, don't you think?"
7,165657,169349,uncivil,"Can you please use a consistent name space? retpoline_ ... or such? I really don't like fiddling with that variable. That's just hackery. The variable reflects the actual enabled mitigation state of the kernel proper. That'll break once we get other mitigation variants. These newlines are there to separate stuff for readability sake. This really can be done in a cleaner way. That only needs one function and that one can take care of setting a
variable in the spectre code which then influences the sysfs output. And that output should not be ""Vulnerable"" like you force with the hack above. It actually should tell WHY it is vulnerable despite having had protection in place before the module was loaded.",165657,technical," There's a risk that a kernel that has full retpoline mitigations becomes vulnerable when a module gets loaded that hasn't been compiled with the right compiler or the right option.  We cannot fix it, but should at least warn the user when that happens.  When the a module hasn't been compiled with a retpoline aware compiler, print a warning and change the SPECTRE_V2 mitigation mode to show the system is vulnerable now.  For modules it is checked at compile time, however it cannot check assembler or other non compiled objects used in the module link.  v2: Change warning message v3.","There's a risk that a kernel that has full retpoline mitigations becomes vulnerable when a module gets loaded that hasn't been compiled with the right compiler or the right option.  We cannot fix it, but should at least warn the user when that happens.  When the a module hasn't been compiled with a retpoline aware compiler, print a warning and change the SPECTRE_V2 mitigation mode to show the system is vulnerable now.  For modules it is checked at compile time, however it cannot check assembler or other non compiled objects used in the module link.  v2: Change warning message v3. Can you please use a consistent name space? retpoline ... or such? I really don't like fiddling with that variable. That's just hackery. The variable reflects the actual enabled mitigation state of the kernel proper. That'll break once we get other mitigation variants. These newlines are there to separate stuff for readability sake. This really can be done in a cleaner way. That only needs one function and that one can take care of setting a
variable in the spectre code which then influences the sysfs output. And that output should not be ""Vulnerable"" like you force with the hack above. It actually should tell WHY it is vulnerable despite having had protection in place before the module was loaded."
8,166193,168161,uncivil,I didn't get any response to a comment I've written about the point above during the previous patch iteration.,168038,technical,tested v3... ,tested v3...  I didn't get any response to a comment I've written about the point above during the previous patch iteration.
9,167856,174594,civil,"No problem, at the beginning, I only wanted to enable the strict. Doing this involves that I have to remove pinctrl nodes for the pins which are going to be request through the gpiolib to avoid conflicts. These pins were configured with bias-pull-up. That's why I try to add the bias support. Thanks for the detailed answer about what you have in mind. Well, yes and not! As a consequence of enabling strict mode, I have to find another way to configure the pins. Yes, I have noticed this issue. Right, I have spotted some drivers to fix. I will try to handle the ones related to the platforms I am using.",174357,technical,"I think we need to think over what is a good way to share ownership of a pin.  Russell pointed me to a similar problem incidentally and I briefly looked into it: there are cases when several devices may need to hold the same pin.  Can't we just look up the associated gpio_chip from the GPIO range, and in case the pin is connected between the pin controller and the GPIO chip, then we allow the gpiochip to also take a reference?  I.e. in that case you just allow gpio_owner to proceed and take the pin just like with a non-strict controller. ","I think we need to think over what is a good way to share ownership of a pin.  Russell pointed me to a similar problem incidentally and I briefly looked into it: there are cases when several devices may need to hold the same pin.  Can't we just look up the associated gpio_chip from the GPIO range, and in case the pin is connected between the pin controller and the GPIO chip, then we allow the gpiochip to also take a reference?  I.e. in that case you just allow gpio_owner to proceed and take the pin just like with a non-strict controller.  No problem, at the beginning, I only wanted to enable the strict. Doing this involves that I have to remove pinctrl nodes for the pins which are going to be request through the gpiolib to avoid conflicts. These pins were configured with bias-pull-up. That's why I try to add the bias support. Thanks for the detailed answer about what you have in mind. Well, yes and not! As a consequence of enabling strict mode, I have to find another way to configure the pins. Yes, I have noticed this issue. Right, I have spotted some drivers to fix. I will try to handle the ones related to the platforms I am using."
