thread_id,email_id,email_code,email_body,previous_email_id,previous_email_code,previous_email_body,concat_body
72369,470438,technical,"What do you mean by 1st and 2nd level? Pretty much. (3) is true in the sense that memory is first allocated from hostmem_resource (which is non-dom0 RAM). Not anymore, as far as that particular commit is concerned, but that's because of this commit (Move and shrink AMD 64-bit window to avoid conflict) which was introduced after balloon patch. IIRC there were some issues with it unrelated to balloon. The concern is that in principle nothing prevents someone else to do exact same thing commit did, which is grab something from right above end of RAM as the kernel sees it. And that can be done at any point.",469497,technical,"this commit breaks Xen balloon memory hot plug for us in Dom0 with this set to 1. The issue is that the common kernel memory onlining procedures require ""System RAM"" resource to be 1-stlevel. That means by inserting it under ""Unusable memory"" as the commit above does (intentionally or not) we make it 2-nd level and break mem or yonlining.There are multiple ways to fix it depending on what was the intention of original commit and what exactly it tried to workaround. It seems it does several things at once:1) Marks non-Dom0 host memory ""Unusable memory"" in resource tree.2) Keeps track of all the areas safe for hot plug in Dom03) Changes allocation algorithms itself in balloon driver to use those areas Are all the things above necessary to cover the issue in this: Enable a 64bit BAR on AMD Family 15h (Models 00-1f, 30-3f,60-7f)"")? Can we remove ""Unusable memory"" resources as soon as we finished booting? Is removing on-demand is preferable over ""shoot them all"" in that case? Does it even make sense to remove the 1-st level only restriction in kernel/ resource.c ?","this commit breaks Xen balloon memory hot plug for us in Dom0 with this set to 1. The issue is that the common kernel memory onlining procedures require ""System RAM"" resource to be 1-stlevel. That means by inserting it under ""Unusable memory"" as the commit above does (intentionally or not) we make it 2-nd level and break mem or yonlining.There are multiple ways to fix it depending on what was the intention of original commit and what exactly it tried to workaround. It seems it does several things at once:1) Marks non-Dom0 host memory ""Unusable memory"" in resource tree.2) Keeps track of all the areas safe for hot plug in Dom03) Changes allocation algorithms itself in balloon driver to use those areas Are all the things above necessary to cover the issue in this: Enable a 64bit BAR on AMD Family 15h (Models 00-1f, 30-3f,60-7f)"")? Can we remove ""Unusable memory"" resources as soon as we finished booting? Is removing on-demand is preferable over ""shoot them all"" in that case? Does it even make sense to remove the 1-st level only restriction in kernel/ resource.c ? What do you mean by 1st and 2nd level? Pretty much. (3) is true in the sense that memory is first allocated from hostmem_resource (which is non-dom0 RAM). Not anymore, as far as that particular commit is concerned, but that's because of this commit (Move and shrink AMD 64-bit window to avoid conflict) which was introduced after balloon patch. IIRC there were some issues with it unrelated to balloon. The concern is that in principle nothing prevents someone else to do exact same thing commit did, which is grab something from right above end of RAM as the kernel sees it. And that can be done at any point."
72369,470664,technical,"Ah, OK. Doesn't this place the RAM at 1st level? And if not, can we make it so? Since this seems to have broken existing feature this would be an option. But before going that route I'd like to see if we can fix the patch. I have been unable to reproduce your problem. Can you describe what you did? I am not sure I agree that this is plainly wrong. If not for BIOS issues that he mentions I think what the original implementation he did was perfectly reasonable. Which is why I would prefer to keep keep the hostmem resource *if possible*.",470502,not_technical,"I mean the level of a resource in IOMEM tree (the one that's printed from this). 1-st level means its parent is root and so on. If it's not a problem anymore IIUC, can we revert the change as it still breaks. for the reasons I described above? Nothing prevents - true, but that's plainly wrong from OS point of view to grab physical ranges for something without knowing what's actually behind on that platform. I think we shouldn't consider this as a valid thing to do and don't try to work around initially incorrect code.","I mean the level of a resource in IOMEM tree (the one that's printed from this). 1-st level means its parent is root and so on. If it's not a problem anymore IIUC, can we revert the change as it still breaks. for the reasons I described above? Nothing prevents - true, but that's plainly wrong from OS point of view to grab physical ranges for something without knowing what's actually behind on that platform. I think we shouldn't consider this as a valid thing to do and don't try to work around initially incorrect code. Ah, OK. Doesn't this place the RAM at 1st level? And if not, can we make it so? Since this seems to have broken existing feature this would be an option. But before going that route I'd like to see if we can fix the patch. I have been unable to reproduce your problem. Can you describe what you did? I am not sure I agree that this is plainly wrong. If not for BIOS issues that he mentions I think what the original implementation he did was perfectly reasonable. Which is why I would prefer to keep keep the hostmem resource *if possible*."
72369,470674,technical,"That'd mean splitting ""Unusable memory"" resource. Since it's allocated from bootmem it has proven to be quite difficult but there are seem to be special functions available particularly for memory resource management operations that I've not yet experimented with. So the answer is probably - maybe yes but not straightforward. It doesn't happen on all configurations as sometimes the memory is successfully hot plugged to a hole depending on the size of Dom0 memory. But we reproduced it quite reliably with small Dom0 sizes like 752MB. XenServer is using this feature to hot plug additional memory for grantable operations so we started a VM and observed a stable hang. Exactly, those *are* BIOS issues and are not supposed to be workarounded by the OS. And as the next commit showed even the workaround didn't quite helped with it. I agree that having hotmem as a precaution is fine but only if there is a non-cringy way to keep things working with it which I'm not sure does exist.",470664,technical,"Ah, OK. Doesn't this place the RAM at 1st level? And if not, can we make it so? Since this seems to have broken existing feature this would be an option. But before going that route I'd like to see if we can fix the patch. I have been unable to reproduce your problem. Can you describe what you did? I am not sure I agree that this is plainly wrong. If not for BIOS issues that this mentions I think what the original implementation they did was perfectly reasonable. Which is why I would prefer to keep keep the hostmem resource *if possible*.","Ah, OK. Doesn't this place the RAM at 1st level? And if not, can we make it so? Since this seems to have broken existing feature this would be an option. But before going that route I'd like to see if we can fix the patch. I have been unable to reproduce your problem. Can you describe what you did? I am not sure I agree that this is plainly wrong. If not for BIOS issues that this mentions I think what the original implementation they did was perfectly reasonable. Which is why I would prefer to keep keep the hostmem resource *if possible*. That'd mean splitting ""Unusable memory"" resource. Since it's allocated from bootmem it has proven to be quite difficult but there are seem to be special functions available particularly for memory resource management operations that I've not yet experimented with. So the answer is probably - maybe yes but not straightforward. It doesn't happen on all configurations as sometimes the memory is successfully hot plugged to a hole depending on the size of Dom0 memory. But we reproduced it quite reliably with small Dom0 sizes like 752MB. XenServer is using this feature to hot plug additional memory for grantable operations so we started a VM and observed a stable hang. Exactly, those *are* BIOS issues and are not supposed to be workarounded by the OS. And as the next commit showed even the workaround didn't quite helped with it. I agree that having hotmem as a precaution is fine but only if there is a non-cringy way to keep things working with it which I'm not sure does exist."
72369,471026,technical,"We have most of the interfaces in the resource framework to do what we want. I put together a semi-working prototype but the tricky part is resource locking --- we need to remove a chunk from hostmem (which will cause hostmem to be resized and possibly split), and insert this chunk to iomem's top level as System RAM, all while holding resource lock.I haven't been able to come up with an acceptable interface for that. Given that we are actually broken I guess I am OK with reverting the patch, but please make sure this works on AMD boxes (I think family 15his what needs to be tested).",470674,technical,"That'd mean splitting ""Unusable memory"" resource. Since it's allocated from bootmem it has proven to be quite difficult but there are seem to be special functions available particularly for memory resource management operations that I've not yet experimented with. So the answer is probably - maybe yes but not straightforward. It doesn't happen on all configurations as sometimes the memory is successfully hot plugged to a hole depending on the size of Dom0 memory. But we reproduced it quite reliably with small Dom0 sizes like 752MB. XenServer is using this feature to hot plug additional memory for grantable operations so we started a VM and observed a stable hang. Exactly, those *are* BIOS issues and are not supposed to be workarounded by the OS. And as the next commit showed even the workaround didn't quite helped with it. I agree that having hotmem as a precaution is fine but only if there is a non-cringy way to keep things working with it which I'm not sure does exist.","That'd mean splitting ""Unusable memory"" resource. Since it's allocated from bootmem it has proven to be quite difficult but there are seem to be special functions available particularly for memory resource management operations that I've not yet experimented with. So the answer is probably - maybe yes but not straightforward. It doesn't happen on all configurations as sometimes the memory is successfully hot plugged to a hole depending on the size of Dom0 memory. But we reproduced it quite reliably with small Dom0 sizes like 752MB. XenServer is using this feature to hot plug additional memory for grantable operations so we started a VM and observed a stable hang. Exactly, those *are* BIOS issues and are not supposed to be workarounded by the OS. And as the next commit showed even the workaround didn't quite helped with it. I agree that having hotmem as a precaution is fine but only if there is a non-cringy way to keep things working with it which I'm not sure does exist. We have most of the interfaces in the resource framework to do what we want. I put together a semi-working prototype but the tricky part is resource locking --- we need to remove a chunk from hostmem (which will cause hostmem to be resized and possibly split), and insert this chunk to iomem's top level as System RAM, all while holding resource lock.I haven't been able to come up with an acceptable interface for that. Given that we are actually broken I guess I am OK with reverting the patch, but please make sure this works on AMD boxes (I think family 15his what needs to be tested)."
72369,471576,technical,"After their last commit I don't see how this can be broken: 1) They only claim addresses starting from this*unconditionally* which means if there is some memory behind this range on the host (regardless if it's Dom0 or native Linux) they'll break their own systems. 2) So, theoretically, to trigger the original issue we'd need to have a system with RAM higher than it and that shouldn't be assigned to Dom0 but that contradicts (1).",471026,technical,"We have most of the interfaces in the resource framework to do what we want. I put together a semi-working prototype but the tricky part is resource locking --- we need to remove a chunk from hostmem (which will cause hostmem to be resized and possibly split), and insert this chunk to iomem's top level as System RAM, all while holding resource_lock.I haven't been able to come up with an acceptable interface for that. Given that we are actually broken I guess I am OK with reverting the patch, but please make sure this works on AMD boxes (I think family is what needs to be tested).","We have most of the interfaces in the resource framework to do what we want. I put together a semi-working prototype but the tricky part is resource locking --- we need to remove a chunk from hostmem (which will cause hostmem to be resized and possibly split), and insert this chunk to iomem's top level as System RAM, all while holding resource_lock.I haven't been able to come up with an acceptable interface for that. Given that we are actually broken I guess I am OK with reverting the patch, but please make sure this works on AMD boxes (I think family is what needs to be tested). After their last commit I don't see how this can be broken:1) They only claim addresses starting from this*unconditionally* which means if there is some memory behind this range on the host (regardless if it's Dom0 or native Linux) they'll break their own systems. 2) So, theoretically, to trigger the original issue we'd need to have a system with RAM higher than it and that shouldn't be assigned to Dom0 but that contradicts (1)."
72369,469497,technical,"this commit breaks Xen balloon memory hot plug for us in Dom0 with this set to 1. The issue is that the common kernel memory onlining procedures require ""System RAM"" resource to be 1-stlevel. That means by inserting it under ""Unusable memory"" as the commit above does (intentionally or not) we make it 2-nd level and break mem or yonlining.There are multiple ways to fix it depending on what was the intention of original commit and what exactly it tried to workaround. It seems it does several things at once:1) Marks non-Dom0 host memory ""Unusable memory"" in resource tree.2) Keeps track of all the areas safe for hot plug in Dom03) Changes allocation algorithms itself in balloon driver to use those areas Are all the things above necessary to cover the issue inthis: Enable a 64bit BAR on AMD Family 15h (Models)"")? Can we remove ""Unusable memory"" resources as soon as we finished booting? Is removing on-demand is preferable over ""shoot them all"" in that case? Does it even make sense to remove the 1-st level only restriction in kernel/ resource.c ?",100031,technical,"We have most of the interfaces in the resource framework to do what we want. I put together a semi-working prototype but the tricky part is resource locking --- we need to remove a chunk from hostmem (which will cause hostmem to be resized and possibly split), and insert this chunk to iomem's top level as System RAM, all while holding resource_lock.I haven't been able to come up with an acceptable interface for that. Given that we are actually broken I guess I am OK with reverting the patch, but please make sure this works on AMD boxes (I think family 15his what needs to be tested).","We have most of the interfaces in the resource framework to do what we want. I put together a semi-working prototype but the tricky part is resource locking --- we need to remove a chunk from hostmem (which will cause hostmem to be resized and possibly split), and insert this chunk to iomem's top level as System RAM, all while holding resource_lock.I haven't been able to come up with an acceptable interface for that. Given that we are actually broken I guess I am OK with reverting the patch, but please make sure this works on AMD boxes (I think family 15his what needs to be tested). this commit breaks Xen balloon memory hot plug for us in Dom0 with this set to 1. The issue is that the common kernel memory onlining procedures require ""System RAM"" resource to be 1-stlevel. That means by inserting it under ""Unusable memory"" as the commit above does (intentionally or not) we make it 2-nd level and break mem or yonlining.There are multiple ways to fix it depending on what was the intention of original commit and what exactly it tried to workaround. It seems it does several things at once:1) Marks non-Dom0 host memory ""Unusable memory"" in resource tree.2) Keeps track of all the areas safe for hot plug in Dom03) Changes allocation algorithms itself in balloon driver to use those areas Are all the things above necessary to cover the issue inthis: Enable a 64bit BAR on AMD Family 15h (Models)"")? Can we remove ""Unusable memory"" resources as soon as we finished booting? Is removing on-demand is preferable over ""shoot them all"" in that case? Does it even make sense to remove the 1-st level only restriction in kernel/ resource.c ?"
135037,152994,technical,"Forget it 0-day bot, and assorted crickets (smile)  With stock knob settings, that's too late to switch from llc -> l2 affinity for sync wakeups, and completely demolished tbench top end on huge socket NUMA box with lots of bandwidth. Lovely for desktop, somewhere below gawd-awful for big box performance.",135037,technical,," Forget it 0-day bot, and assorted crickets (smile)  With stock knob settings, that's too late to switch from llc -> l2 affinity for sync wakeups, and completely demolished tbench top end on huge socket NUMA box with lots of bandwidth. Lovely for desktop, somewhere below gawd-awful for big box performance."
135434,135461,technical,crap. google helpfully disabled this account while I was posting this set. I'll repost can call it version 3,135439,-1,, crap. google helpfully disabled this account while I was posting this set. I'll repost can call it version 3
143665,144213,technical,Please change it to read the hardware directly and not use this.,143667,-1,, Please change it to read the hardware directly and not use this.
143665,156632,technical,"Thanks for the review the change. Here intention is to know the software status of the RCG instead of HW status and we have intentionally not defined the 'is_enabled'ops for clk_rcg2_shared_ops. this clk_rcg2_shared_ops are only applicable for the RCGs with shared branches across different subsystems. Reason for using the same is mentioned below. When RCG gets enabled by other subsystem (outside the Application processor subsystem):   In this case when RCG gets enabled by branch clock managed by   other subsystem (outside the Application processor subsystem)   and if we check HW status of RCG in clk_rcg2_shared_set_rate()   instead of checking its software status then it will give the status as ENABLED without overlying software knowing its status   and during source switch, update configuration will get fail as   new parent will be in disabled state.   In above scenario, clock framework will not enable the new   parent before configuration update as enable and prepare counts   are zero for RCG clock and clk_set_rate() will follow below path.   clk_rcg2_shared_set_rate()   __clk_set_parent_before()-->New parent will be disabled as prepare count = 0   clk_change_rate()   clk_set_rate()So solution of this problem is as follows and same is explained in the commit text of. If software status of the RCG is disabled(enable/prepare counts are0)    then just cache or store the rate in current_freq variable and if    software status is enabled then follow the normal update procedure.2. Set the rate and switch to new source only inclk_rcg2_shared_enable()    i.e. during RCG enable sequence. this will make sure that required    parents are already in enable state before configuration update and    RCG switch will happen successfully every time. In past, We have encountered similar RCG update configuration failure issues for some display RCGs, where there are two branch clocks, one is controlled by application processor subsystem and another one controlled by other subsystem. So to handle such cases, we need clk_rcg2_shared_ops.",144213,technical,Please change it to read the hardware directly and not use this.,"Please change it to read the hardware directly and not use this. Thanks for the review the change. Here intention is to know the software status of the RCG instead of HW status and we have intentionally not defined the 'is_enabled'ops for clk_rcg2_shared_ops. this clk_rcg2_shared_ops are only applicable for the RCGs with shared branches across different subsystems. Reason for using the same is mentioned below. When RCG gets enabled by other subsystem (outside the Application processor subsystem):   In this case when RCG gets enabled by branch clock managed by   other subsystem (outside the Application processor subsystem)   and if we check HW status of RCG in clk_rcg2_shared_set_rate()   instead of checking its software status then it will give the status as ENABLED without overlying software knowing its status   and during source switch, update configuration will get fail as   new parent will be in disabled state.   In above scenario, clock framework will not enable the new   parent before configuration update as enable and prepare counts   are zero for RCG clock and clk_set_rate() will follow below path.   clk_rcg2_shared_set_rate()   __clk_set_parent_before()-->New parent will be disabled as prepare count = 0   clk_change_rate()   clk_set_rate()So solution of this problem is as follows and same is explained in the commit text of. If software status of the RCG is disabled(enable/prepare counts are0)    then just cache or store the rate in current_freq variable and if    software status is enabled then follow the normal update procedure.2. Set the rate and switch to new source only inclk_rcg2_shared_enable()    i.e. during RCG enable sequence. this will make sure that required    parents are already in enable state before configuration update and    RCG switch will happen successfully every time. In past, We have encountered similar RCG update configuration failure issues for some display RCGs, where there are two branch clocks, one is controlled by application processor subsystem and another one controlled by other subsystem. So to handle such cases, we need clk_rcg2_shared_ops."
