thread_id,quotation,email_final_code
72369,"I think we shouldn't consider this as a valid thing to do and don't try to workaround initially incorrect code.. Nothing prevents - true, but that's plainly wrong from OS point of view to grab physical ranges for something without knowing what's actually behind on that platform.",1
152625,"I really like them, factually valuable comments. please express your concern so that we have a chance to move on.. I think that's a pity.. How do you plan to handle the external references?. How do you plan to handle the external references?. And changing the name and/or location will break that link, AFAIK.. So I hate this rst crap with a passion, so NAK from me.. So I hate this rst crap with a passion, so NAK from me.. Not perfect, but a first solution.. When one of the author of the original document objected, i felt it is better to back off. But if there is a consensus, i will proceed.. Initially i was sceptical of rst & once instead of hitting the fly, hit make htmldocs on the keyboard :)  and the opinion about it was changed. It was easy to navigate through various docs & the realized that various topics (& many) were present (yes it was there earlier also but had to dive inside Documentation & search   but now it was docs coming after you  that is myopinion.. instead of hitting the fly, hit make htmldocs on the keyboard :). It was thought that rst conversion could be done quickly, but since this was my first attempt with rst, had to put some effort to get a not so bad output, even if this patch dies, i am happy to have learnt rst conversion to some extent.  ",1
159308,If you pick some bits from another version andwant to credit someone else you can 'CC:' them or just mention it in the commit-message.. If you pick some bits from another version andwant to credit someone else you can 'CC:' them or just mention it in the commit-message.. How come you don't use this in kvm_arm_set_sei_esr()?,1
161354,"For 2500Base-X, do you report a speed of 2500Mbps through ethtool, or are you reporting 1000Mbps?  I don't see any code in this patch that deals with that.",1
165231,"My point is, we might as well take the opportunity to fix this right away, don't you think?",0
165657,"This really can be done in a cleaner way.. And that output should not be Vulnerable"" like you force with the hackabove."". It actually should tell WHY it is vulnerable despite having had protection in place before the module was loaded.. These newlines are there to separate stuff for readability sake.",1
166193,I didn't get any response to a comment I've written about the point above during the previous patch iteration,1
167856,Thanks for the detailed answer about what you have in mind.,0
168060,This does not make sense vs. the documentation:,1
168169,"Thanks a lot for all this work! It was long overdue and it is nice to see the project finally getting to an end, after passing into so many hands!. All this time, I thought these parameters were for power gating... I also did not expect that clock gating had to be disabled before we could program them. Great find!. I am not sure I understand the purpose of this level here.. Aside from all these nitpicks, the approach is quite self contained and I like the following patches. Well done!. If you agree with having a single enable bit for CG, then a simple: Clockgating status: (boot|optimized) would work perfectly.",0
168668,"Again, 'boutside' protection ...",1
169133,"You should send the patch to yourself and try to apply the patch you receive, do not send to the list until you can pass the test properly.. I cannot apply a patch which has been corrupted by your email client like this.. So it is not my theory guessing, it is a real problem.. The timer is supposed to restart the protocol again, that's how this whole thing is designed to work.. The timer is supposed to restart the protocol again, that's how this whole thing is designed to work.. I think you are making changes to the symptom rather than the true cause of the problems you are seeing.. Sorry, I will not apply this until the exact issue is better understood.. Do not use attachments to fix this problem, the patch must be inline after your commit message and signoffs.. But if you have a better idea to fix it, I am glad to see it.. But if you have a better idea to fix it, I am glad to see it. Anyway, this issue have to be fixed.. If it's worth the effort at this point, I don't know.. Sorry about being late, just returned home and am trying to get all the backlogs under control.",1
170193,"Thanks for the review and apologies for the delay.. I cannot comment on your proposal because I do not know where to find the reference you made, or maybe I do not understand what you mean :-(. So one gets this far, but has no actual idea of how to do these things.Which leads me to wonder: what is this document for?. Most of the people reading it are likely wanting to learn how to *use* this API, I think it would be best to not leave them frustrated.. Can you please point me to this function/macro? I don't seem to be able to find it, at least not in 4.15. You could improve things a lot by (once again) going to RST and using directives to bring in the kernel doc comments from the source (which, I note, do exist).. Thanks for the review and apologies for the delay.. Who are you expecting to read it?",1
173287,You can't do it this simply as it will cause deadlock due to nested locking of the buf_lock.. You can't do it this simply as it will cause deadlock due to nested locking of the buf_lock.,1
174463,Shouldn't there be a at least a comment to explain why zero is an appropriate initialization value in that case?. I've looked at your patch for way too long now and still don't see how you've shown it to be correct.,1
174735,"Why you want checks for something that not exist ?. You can very well impose that in the core, except you don't duplicate the code.. Why you want checks for something that not exist ?. So you remove all NULL pointer checks ? Esp. in security-sensitive code? What is the impact of this non-critical path code on performance?. Come on .... This makes no sense, cfr my comment on 5/5. This looks really nonsensical and the commit message doesn't explain the rationale for that at all.. Ask yourself why crypto do not check for NULL in ahash digest or other required ahash functions.. So you remove all NULL pointer checks ? Esp. in security-sensitive code? What is the impact of this non-critical path code on performance?. You implemented the same code thrice, it surely is not reduced.. As I said above, it reduces binary size at cost of more source code in few drivers.. Are you suggesting that the kernel code should NOT perform NULL pointer checks ?. Are you suggesting that the kernel code should NOT perform NULL pointerchecks ?. Are you suggesting each driver should implement every single callback available and if it is not implemented, return -ENOSYS ?. Are you suggesting each driver should implement every single callback available and if it is not implemented, return -ENOSYS ?. You implemented the same code thrice, it surely is not reduced.. One do not load all crypto drivers at once, simple because one board has only one crypto HW (or few closely related), and if one even try, almost none of them will initialize on given hardware.. It does NOT reduce the binary size, just try compiling all the drivers in and it will make the kernel bigger.. It does NOT reduce the binary size, just try compiling all the drivers in and it will make the kernel bigger.. You can compile kernel with generic config and at that point you have all the duplicated code stored on your machine.",1
180488,"Sorry, I missed that. If mmap_sem is not needed for migrate_pages(), please ignore this patch.",0
183468,Thanks for testing this and letting me know.,0
202437,"Have you taken any other solution approaches into account than  a quick rejection?. Have you taken any other solution approaches into account than  a quick rejection?. Would you like to answer my still remaining questions in any more constructive ways?. Would you like to answer my still remaining questions in any more constructive ways?. Just so you know, I'll reject any future patch series that do not follow these rules.. I would also suggest that your time might be spent more productively if you would work on some more useful projects. There is more than enough to do. However, that's up to you.. Feel free to repost, but only if you organize the patch as either fixing the same type of issue for a whole subdirectory (media/usb, media/pci, etc) or fixing all issues for a single driver.. How would you ever like to clean up stuff in affected source files which was accumulated (or preserved somehow) over years?. Just use common sense when posting these things in the future.. I would also suggest that your time might be spent more productively if you would work on some more useful projects.. Would you like to share any more information from this meeting?. I find it very surprising that you rejected 146 useful update suggestions so easily.. While we do not mind cleanup patches, the way you post them (one fix per file) is really annoying and takes us too much time to review.. While we do not mind cleanup patches, the way you post them (one fix per file) is really annoying and takes us too much time to review.. Would you dare to apply any (of my) scripts for the semantic patch language directly on the whole directory for multi-media software?. Will any development (or management) tools like quilt fold make the regrouping of possible update steps more convenient and safer?. I find it very surprising that you rejected 146 useful update suggestions so easily.. Could your reaction have been different if the remarkable number of  change possibilities were sent by different authors (and not only me)?. Are you going to answer any of my remaining questions in a more constructive way?. Are you going to answer any of my remaining questions in a more constructive way?. Are you going to answer any of my remaining questions in a more constructive way?. Do any contributors get into the mood to take another look at software updates from my selection of change possibilities in a more constructive way?. We don't have the time to wade through dozens of one-liner cleanup patches.. We don't have the time to wade through dozens of one-liner cleanup patches.. One last time: either post per-driver patches with all the cleanups for a driver in a single patch, or a per-directory patch (drivers/media/pci, usb, etc) doing the same cleanup for all drivers in that directory.. would you get frightened still by any other change combination?. We have got different preferences for a safe patch granularity.. There are communication difficulties to consider since your terse information from your conference meeting.. If you would insist on patch squashing, would you dare to use a development tool like quilt fold also on your own once more?. Can you handle bigger patches really better than similar patch series?. Are there any further possibilities to consider around consequences from a general change resistance?. Fix your tools before you send any more patches.. Yes, and you were told not to do it like that again.. Will you accept increasing risks because of bigger patch sizes?. > Would you like to share any more information from this meeting???? I did that: either one patch per directory with the same type of change, or one patch per driver combining all the changes for that driver.. Use normal patch styles. Fix your tools before you send any more patches.. I prefer the first approach, but it's up to you.",1
207400,"yes, that static arrays are not very forward-thinking and yes my arrays are not consistent.. Thanks for catching that.. oops, did not mean to submit that. Cool. I would say this is done right.",0
210458,"So this is a case of the compiler trying to be smarter than it really is, and getting things totally wrong :(. Wait, what?  Why would it do that, because it thinks dereferencing NULL is undefined behaviour and it can just do whatever it wants to?. That feels crazy, as for these calls we know it will never be NULL because the previous call to debug fs_file_get() will always ensure it will be correct.. Papering over compiler foolishness is not something I like to do in kernel code if at all possible.... Then fix the tool, the C code is correct :). Then tell clang not to do that, like we tell gcc not to do that as that is a foolish thing for a compiler to do when building the kernel.. Wait, clang does not have that?  That's crazy, how has this not been hit yet when building the kernel?. Then tell clang not to do that, like we tell gcc not to do that as that is a foolish thing for a compiler to do when building the kernel.",1
216128,I can't find mention of amdcz in Linus's tree nor linux-next.. Can you possibly send the entire series again and CC all patches to linux-acpi and fix the kbuild warnings if the are relevant for that matter?. Sorry for being dense.,0
221804,When you use explicit casting in printf() you are doing in 99.9% casessomething wrong.,1
222860,"(IOW, I would say over my dead body  but I have no power here.). Since when do U-Boot patches go to LKML and dri-devel?. Since when do U-Boot patches go to LKML and dri-devel?. Anyway, I'll try my best to ignore this series.. How many times are we going to allow copy-and-pasting the same driver?. I'm going to be real disappointed if we see another fork get merged.. How many times are we going to allow copy-and-pasting the same driver?. Can you add a commit message explaining why you add a specific defconfig for this board.",1
230843,"In any case, if you insist, I can try to rework the whole stuff implementing module_finalize().",0
231231,So make it fit by returning an unsigned int.,0
232313,Maintainers don't mine mailing lists for patches to apply.. You'll need to send the patch to someone if you want it to be merged.,1
239101,"I never did get an answer about how the sg array is free'd in certain error paths (see FIXME:"" in the 2nd patch)."". Regarding free of sg in two error paths, you were correct.. Thank you so much for many style, formatting and other issues fixes and also for integration of 'check_at_most_once' patch, it saved me several review iterations.. I never did get an answer about how the sg array is free'd in certain error paths (see FIXME:"" in the 2nd patch)."". I'll be pretty frustrated if you submit v2 that is blind to the kinds of changes I made.",1
245912,"Then what? Shouldn't this result in probe deferral or something more useful instead of just being ignored ?. I'm only just learning about PECI, but I do have some general comments below.. All of this code is for debugging only. Do you want to put it behind some kind of conditional?. Would it be possible to find common code and use functions for it instead of duplicating everything several times ?. I didn't put that warning in there for no good reason.. You are trying to out smart the kernel by getting rid of a warning message that was explicitly put there for you to do something.. As per the in-kernel documentation, I am now allowed to make fun of you.. Please go read the documentation again.... There is a lot of duplication in those functions.",1
254985,You will have to be patient because this is a rather big change and itwill take quite some time to get sorted.,1
258997,"Can you fix it correctly by replacing the 'switch' by a 'if' instead of adding dead branches to please gcc?. Could you please just merge the obvious fix from Arnd instead?. If people don't care enough about their code to even check the warnings, I'm not going to waste one second pulling the resulting garbage. It's that simple.. If people don't care enough about their code to even check the warnings, I'm not going to waste one second pulling the resulting garbage. It's that simple.. If people don't care enough about their code to even check the warnings, I'm not going to waste one second pulling the resulting garbage. It's that simple.. I'm really sorry for this.. I'm not the one that added this switch statement (it has been there since 2011) and I would be happy to remove it.",1
259276,"Did you actually test this?. I admit I am not familiar with this driver.I did not know this driver is only loaded during system boot-up time, I thought this driver can be loaded as a kernel module (like many drivers) after system booting.After knowing this, I admit my patch is not proper, sorry.... After knowing this, I admit my patch is not proper, sorry.... Did you actually test this?",1
261377,"your patch is corrupted to the point where any attenpt to fix it up on my side failed. This doesn't have to be on separate lines, as written, it just causes confusion.",1
261866,"Sorry, but this is a hack to *try* to make multi-slot work and this isn't sufficient.",1
266017,"Well, I am not sure. Could you please give me hints, how to debug this further? Is there some debug flag?. Could you analyze further instead of blindly putting the flag?. Could you analyze further instead of blindly putting the flag?. What actually took so long?",1
266279,"let's not just start adding bloatware where not needed.. Please enlighten me: how do you think this could be exploited?. Please notice that I'm fine if you want to submit potential Spectre variant 1 fixups, but if you're willing to do so, please provide an explanation about the potential threat scenarios that you're identifying at the code.. Sorry for the noise and thanks for the feedback.. Sorry for the noise.. Ok, a poor man approach would be to pass the array directly to the core and let the implementation there to implement the array fetch logic  calling array_index_nospec() there  but I wonder if are there any other way that won't require too much code churn.. I see I've missed some obvious things that you've pointed out here. I'll mark these warnings as False Positives and take your points into account for the analysis of the rest of the Spectre issues reported by Smatch.",1
266918,"I'll remember all this for the next time (if next time there is,of course, I was already quite hesitant to spend time to prepare and send patches for these issues with enum/integer mix-up).. Sorry for the annoyance,. make this a true patch series. fix the indentation of the functions whose arguments span multiple lines as has been pointed out to you in patch feedback.. Luc please don't submit such a huge number of patches all at one time.. It seems it was a bad guess, andyes, I see the point of having a series for this.",1
281311,"It looks like you are not actually sure what you are doing then.. Either it does exist, or it doesn't.. It looks like you are not actually sure what you are doing then.. If it exists, it needs to be fixed.  If it doesn't exist, nothing needs to be done. Which is the case?",1
