thread_id,email_id,quotation,quotation_code,email_final_code
152625,156871,"Not perfect, but a first solution.",humility,uncivil
152625,157636,"When one of the author of the original document objected, i felt it is better to back off. But if there is a consensus, i will proceed.",oppression,civil
152625,157636,"Initially i was sceptical of rst & once instead of hitting the fly, hit make htmldocs on the keyboard :)  and the opinion about it was changed. It was easy to navigate through various docs & the realized that various topics (& many) were present (yes it was there earlier also but had to dive inside Documentation & search   but now it was docs coming after you  that is myopinion.",appreciation_excitement,civil
152625,157636,"It was thought that rst conversion could be done quickly, but since this was my first attempt with rst, had to put some effort to get a not so bad output, even if this patch dies, i am happy to have learnt rst conversion to some extent.  ",humility,civil
152625,157636,"instead of hitting the fly, hit make htmldocs on the keyboard :)",friendly_joke,civil
165231,165261,"My point is, we might as well take the opportunity to fix this right away, don't you think?",considerateness,civil
167856,174594,Thanks for the detailed answer about what you have in mind.,appreciation_excitement,civil
168169,173259,"Thanks a lot for all this work! It was long overdue and it is nice to see the project finally getting to an end, after passing into so many hands!",appreciation_excitement,civil
168169,173259,"All this time, I thought these parameters were for power gating... I also did not expect that clock gating had to be disabled before we could program them. Great find!",appreciation_excitement,civil
168169,173259,"Aside from all these nitpicks, the approach is quite self contained and I like the following patches. Well done!",appreciation_excitement,civil
168169,173259,"If you agree with having a single enable bit for CG, then a simple: Clockgating status: (boot|optimized) would work perfectly.",humility,civil
168169,173259,I am not sure I understand the purpose of this level here.,humility,civil
169133,179802,"Sorry about being late, just returned home and am trying to get all the backlogs under control.",sincere_apologies,civil
169133,179802,"If it's worth the effort at this point, I don't know.",humility,civil
169133,193114,"But if you have a better idea to fix it, I am glad to see it. Anyway, this issue have to be fixed.",appreciation_excitement,civil
169133,193114,"But if you have a better idea to fix it, I am glad to see it.",humility,civil
169133,204633,"Do not use attachments to fix this problem, the patch must be inline after your commit message and signoffs.",commanding,uncivil
170193,188745,Thanks for the review and apologies for the delay.,appreciation_excitement,civil
170193,188745,Thanks for the review and apologies for the delay.,humility,civil
170193,188751,"Can you please point me to this function/macro? I don't seem to be able to find it, at least not in 4.15",humility,uncivil
180488,180837,"Sorry, I missed that. If mmap_sem is not needed for migrate_pages(), please ignore this patch.",sincere_apologies,civil
183468,183472,Thanks for testing this and letting me know.,appreciation_excitement,civil
202437,191241,"I prefer the first approach, but it's up to you.",considerateness,uncivil
202437,202446,Use normal patch styles. Fix your tools before you send any more patches.,commanding,uncivil
207400,207934,Cool. I would say this is done right.,appreciation_excitement,civil
207400,208102,"oops, did not mean to submit that",sincere_apologies,civil
207400,208141,Thanks for catching that.,appreciation_excitement,civil
207400,208159,"yes, that static arrays are not very forward-thinking and yes my arrays are not consistent.",humility,civil
210458,210459,"So this is a case of the compiler trying to be smarter than it really is, and getting things totally wrong :(",sadness,uncivil
216128,216130,Can you possibly send the entire series again and CC all patches to linux-acpi and fix the kbuild warnings if the are relevant for that matter?,considerateness,civil
216128,216133,Sorry for being dense.,sincere_apologies,civil
216128,216133,I can't find mention of amdcz in Linus's tree nor linux-next.,humility,civil
222860,223039,I'm going to be real disappointed if we see another fork get merged.,sadness,uncivil
222860,223039,"(IOW, I would say over my dead body  but I have no power here.)",oppression,uncivil
222860,230472,Can you add a commit message explaining why you add a specific defconfig for this board.,considerateness,civil
230843,231058,"In any case, if you insist, I can try to rework the whole stuff implementing module_finalize().",oppression,civil
231231,232204,So make it fit by returning an unsigned int.,commanding,civil
239101,240255,I'll be pretty frustrated if you submit v2 that is blind to the kinds of changes I made.,sadness,uncivil
239101,240255,"I never did get an answer about how the sg array is free'd in certain error paths (see FIXME:"" in the 2nd patch).""",hope_to_get_feedback,uncivil
239101,240572,"Thank you so much for many style, formatting and other issues fixes and also for integration of 'check_at_most_once' patch, it saved me several review iterations.",appreciation_excitement,civil
239101,240572,"Regarding free of sg in two error paths, you were correct.",humility,civil
245912,245922,Would it be possible to find common code and use functions for it instead of duplicating everything several times ?,considerateness,uncivil
245912,245953,All of this code is for debugging only. Do you want to put it behind some kind of conditional?,considerateness,civil
245912,245953,"I'm only just learning about PECI, but I do have some general comments below.",humility,civil
258997,259513,I'm really sorry for this.,sincere_apologies,civil
258997,260193,I'm not the one that added this switch statement (it has been there since 2011) and I would be happy to remove it.,appreciation_excitement,civil
259276,259489,"I admit I am not familiar with this driver.I did not know this driver is only loaded during system boot-up time, I thought this driver can be loaded as a kernel module (like many drivers) after system booting.After knowing this, I admit my patch is not proper, sorry...",humility,civil
