thread_id,email_id,quotation,quotation_code,email_final_code
498594,574882,It's a document targeted at system administrators and it definitely should not be burried somewhere in Documentation/x86.,neutral,civil
498594,574882,On x86-32?,neutral,civil
431048,432750,But first a general statement.,neutral,civil
202437,191275,I preferred to offer source code adjustments according to specific transformation patterns mostly for each software module separately (also in small patch series).,neutral,civil
168169,173259,Great find!,neutral,civil
402510,413538,It wants a proper analysis and we need to come up with criteria which PMUs can be exposed at all.,neutral,civil
331266,331355,What is this crazy union for?,neutral,civil
541450,543076,In my mind this is no different than trying to run a program that allocates hugepages on a kernel that doesn't support hugepages (just to make up an example).,neutral,civil
207400,208141,I may add platform data to support an older non-device-tree family of boards but it still would require I2C.,neutral,civil
498594,770007,"Document clearly says that bug is fixed in non-virtualized cases, when in fact it depends on PAE and limited memory.",neutral,civil
165657,169349,"And that output should not be Vulnerable"" like you force with the hack above.""",neutral,civil
207400,208102,thanks for the review!,neutral,civil
422694,423291,Adding some more context here.,neutral,civil
377230,377461,They now have to wait for all the other reservations to make progress.,neutral,civil
168060,169219,This does not make sense vs. the documentation:   This should say:   And I really have to ask whether this should be named _GLOBAL_ instead of _SHARED_.,neutral,civil
245912,245953,Having #defines is frowned upon.,neutral,civil
347183,348381,because it's getting late here.,neutral,civil
289026,271213,I understood the concept of memcg.,neutral,civil
402510,413698,"But this does also require a proper analysis and documentation why it is not a security risk to expose the i915 PMU or what potential security issues this can create, so that the competent sysadmin can make a judgement.",neutral,civil
336834,337316,"As example, the original report doesn't say that the process which holds 'cpu_hotplug_lock.rw_sem' is different to the process which holds the other locks.",neutral,civil
221804,221853,"With Best Regards,",neutral,civil
152625,156500,"So I hate this rst crap with a passion, so NAK from me.",neutral,civil
289026,294078,"Although my memcg knowledge is extremely limited, memcg is accounting for various kinds of pages obtained from the buddy pool by the task belonging to it.",neutral,civil
391895,397297,"Note that in order to avoid PLE and paravirt spinlocks and paravirt tlb-invalidate you have to gang-schedule the _entire_ VM, not just SMT siblings.",neutral,civil
245912,245922,Then what ?,neutral,civil
289026,294078,I apologize for having confused.,neutral,civil
391895,397297,"That is the whole and only reason you did this, and it doesn't even begin to cover the requirements for it.",neutral,civil
239101,240255,I'll be pretty frustrated if you submit v2 that is blind to the kinds of changes I made.,neutral,civil
410867,414489,"Even though the return type of ndo_start_xmit is netdev_tx_t, negative error codes are still allowed I believe.",neutral,civil
331266,331355,Why are you doing it this way and not using an attribute group?,neutral,civil
391895,397649,"If coscheduling of a larger fraction of the system is required, costs increase.",neutral,civil
202437,505099,"Actual bug fixes (like the null pointer patch in this series) can still be posted as separate patches, but cleanups shouldn't.",neutral,civil
170193,170197,Which leads me to wonder: what is this document for?,neutral,civil
239101,240255,"Also, I fixed some issues I saw in error paths, and lots of formatting.",neutral,civil
391895,397649,"Assuming, there is a cgroup-less solution that can prevent simultaneous execution of tasks on a core, when they're not supposed to.",neutral,civil
222860,223039,"Hi,    How many times are we going to allow copy-and-pasting the same driver?",neutral,civil
169133,177084,"The timer is supposed to restart the protocol again, that's how this whole thing is designed to work.",neutral,civil
402510,413768,"Well it's not a pony, it is mechanism to avoid having to turn off all  security.",neutral,civil
399771,401526,"If rtnl_trylock() can not grab RTNL,  there is no way the current thread can set the  variable without a race, if the word including rtnl_needed is shared by other fields in the structure.",neutral,civil
266017,266025,What actually took so long?,neutral,civil
402510,414266,I said clearly that I'm not opposed against making it configurable.,neutral,civil
377230,377461,That means filesystem shutdowns will just hang the filesystem and leave it unmountable.,neutral,civil
372597,372959,"Please fix this, email a test patch to yourself, and do not resend the patch to this mailing list until you can successfully extract and cleanly apply the test patch you email to yourself.",neutral,civil
346223,347267,"In other words, I'm trying to understand how much benefit this patchset will provide to our users as a whole.",neutral,civil
391895,397297,The task timeline isn't the same on every CPU because of those.,neutral,civil
498594,574882,Quoting yourself:   Where is the explanation for the 'really big 64bit systems' issue for correctness sake?,neutral,civil
259276,259299,The one you've picked on is in the init path so it won't affect the runtime in any way.,neutral,civil
245912,245953,All of this code is for debugging only.,neutral,civil
377230,377461,"On a correctly configured system, we should almost never use this slow path....",neutral,civil
261866,263843,"For example, I/O requests for one card/slot can then starve I/O requests reaching another card/slot.",neutral,civil
476403,477136,We're not assigning 'bool' to 0/1 but the other way around.,neutral,civil
402510,413698,And the same is required for all other PMUs which can be enabled in the same way for unprivileged access.,neutral,civil
180488,180837,"Michal Hocko wrote:  Then, I am wondering why we are holding mmap_sem when calling migrate_pages() in existing code.",neutral,civil
467091,471458,Come on!,neutral,civil
377230,377461,"IOWs, we can't restart this loop without first having guaranteed the ticket is not already on the ticket queue.",neutral,civil
258997,259513,I didn't get such warnings from 0-day.,neutral,civil
216128,216133,What tree is this against?,neutral,civil
266279,267299,"So, I'm wondering if are there any way to mitigate it inside the  core itself, instead of doing it on every driver, e. g. changing v4l_enum_fmt() implementation at v4l2-ioctl.",neutral,civil
222860,223021,...wait a second...this looks like it's a u-boot driver.,neutral,civil
